Symbol,Interval,KLineTime,FoundTime,MAPeriod,CurrentMA,MA10MinAgo,MA30MinAgo,MAHourAgo,MA4HoursAgo,MADayAgo,ConsistentUp
aca,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.02845679,0.02840494,0.02834568,0.02824568,0.02777037,0.00000000,true
ace,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.44535802,0.44518519,0.44498765,0.44471605,0.44304938,0.00000000,true
1000sats,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.00003899,0.00003899,0.00003898,0.00003897,0.00003892,0.00000000,true
algo,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.18208765,0.18204198,0.18196667,0.18183704,0.18122840,0.00000000,true
alpaca,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.04927037,0.04915679,0.04904444,0.04885185,0.04734691,0.00000000,true
aixbt,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.08305432,0.08301852,0.08297654,0.08287901,0.08245926,0.00000000,true
alpha,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.02633580,0.02633086,0.02632346,0.02631358,0.02627037,0.00000000,true
arpa,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.02205864,0.02205543,0.02204951,0.02204037,0.02198790,0.00000000,true
ata,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.05581111,0.05580617,0.05579877,0.05577901,0.05561728,0.00000000,true
bake,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.12372963,0.12371605,0.12369877,0.12364444,0.12354198,0.00000000,true
band,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.70908642,0.70908642,0.70902469,0.70883951,0.70813580,0.00000000,false
bar,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,1.61108642,1.61082716,1.61045679,1.60990123,1.60876543,0.00000000,true
bel,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.74611235,0.74554691,0.74481605,0.74407654,0.73937901,0.00000000,true
bome,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.00108315,0.00108259,0.00108185,0.00108085,0.00107700,0.00000000,true
bnb,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,592.35049383,592.34728395,592.33185185,592.28728395,592.05666667,0.00000000,true
bsw,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.02097407,0.02091605,0.02085556,0.02073704,0.02017901,0.00000000,true
cfx,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.07013827,0.07013210,0.07012469,0.07010988,0.07005185,0.00000000,true
chess,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.04969753,0.04968272,0.04966420,0.04964321,0.04948148,0.00000000,true
chr,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.08147654,0.08146914,0.08145802,0.08144074,0.08139136,0.00000000,true
cos,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.00295977,0.00295925,0.00295863,0.00295735,0.00295362,0.00000000,true
ctk,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.33655185,0.33655062,0.33653951,0.33650988,0.33623827,0.00000000,true
ctsi,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.05309753,0.05309012,0.05307778,0.05305926,0.05298765,0.00000000,true
d,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.03780420,0.03779494,0.03778210,0.03776222,0.03774494,0.00000000,true
data,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.01535296,0.01534864,0.01534235,0.01533259,0.01524617,0.00000000,true
dexe,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,14.93788889,14.92909877,14.92009877,14.90198765,14.73658025,0.00000000,true
dent,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.00068035,0.00068019,0.00068004,0.00067967,0.00067765,0.00000000,true
dia,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.33697037,0.33686543,0.33671975,0.33648889,0.33524815,0.00000000,true
doge,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.15543000,0.15539568,0.15534716,0.15526840,0.15472086,0.00000000,true
epic,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,1.47765432,1.47692593,1.47624691,1.47497531,1.47003704,0.00000000,true
ethfi,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.47665432,0.47664198,0.47656790,0.47634568,0.47477778,0.00000000,true
fio,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.01295136,0.01295025,0.01294765,0.01294568,0.01293519,0.00000000,true
flm,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.02063457,0.02055926,0.02048519,0.02035309,0.01963951,0.00000000,true
floki,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.00005406,0.00005405,0.00005404,0.00005401,0.00005379,0.00000000,true
