Symbol,Interval,KLineStartTime,KLineEndTime,FoundTime,MAPeriod,CurrentMA,MA10MinAgo,MA30MinAgo,MAHourAgo,MA4HoursAgo,MADayAgo,ConsistentUp,AboveMAKLines
1000sats,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.00004067,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
ada,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.62204938,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
adx,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.08567160,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
acx,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.19917284,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
ai,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.13737037,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
algo,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.19362346,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
aixbt,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.08390864,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
alpha,15m,2025-04-17T17:45:00+08:00,2025-04-17T17:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.02633580,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
ape,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.46766296,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
arb,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.30282346,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
ankr,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.01845469,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
arkm,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.51155556,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
arpa,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.02236543,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
atom,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,4.16362963,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
axl,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.29793580,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
bake,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.12598889,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
banana,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,16.97827160,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
band,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.71370370,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
bananas31,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.00520553,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
