Symbol,TaskName,FoundTime,KLineTime,KLineEndTime,above_ma_klines,ma_period,last_price,ma_10m0s_ago,ma_30m0s_ago,ma_1h0m0s_ago,ma_4h0m0s_ago,current_ma,Description
1000sats,ma_trend,2025-05-15T12:03:35+08:00,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,20.00000000,0.00004613,0.00004800,0.00004613,0.00004596,0.00004604,0.00004559,81.00000000,"1000sats的MA81趋势向上; 连续20根K线在MA线上方"
aca,ma_trend,2025-05-15T12:03:35+08:00,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,20.00000000,0.03075432,0.03160000,0.03075432,0.03069877,0.03071975,0.03065802,81.00000000,"aca的MA81趋势向上; 连续20根K线在MA线上方"
acx,ma_trend,2025-05-15T12:03:35+08:00,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,20.00000000,0.20046420,0.20540000,0.20046420,0.19998765,0.20022099,0.19883086,81.00000000,"acx的MA81趋势向上; 连续20根K线在MA线上方"
ai,ma_trend,2025-05-15T12:03:35+08:00,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,20.00000000,0.13850247,0.14160000,0.13850247,0.13806543,0.13828395,0.13711975,81.00000000,"ai的MA81趋势向上; 连续20根K线在MA线上方"
alcx,ma_trend,2025-05-15T12:03:35+08:00,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,20.00000000,8.43407407,8.81000000,8.43407407,8.41666667,8.42123457,8.40530864,81.00000000,"alcx的MA81趋势向上; 连续20根K线在MA线上方"
aixbt,ma_trend,2025-05-15T12:03:35+08:00,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,20.00000000,0.10827778,0.11770000,0.10827778,0.10768642,0.10795802,0.10678148,81.00000000,"aixbt的MA81趋势向上; 连续20根K线在MA线上方"
alpaca,ma_trend,2025-05-15T12:03:35+08:00,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,20.00000000,0.06112593,0.09530000,0.06112593,0.05869383,0.05976296,0.05438642,81.00000000,"alpaca的MA81趋势向上; 连续20根K线在MA线上方"
alpine,ma_trend,2025-05-15T12:03:35+08:00,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,20.00000000,0.74127160,0.75300000,0.74127160,0.74002469,0.74060494,0.73882716,81.00000000,"alpine的MA81趋势向上; 连续20根K线在MA线上方"
alpha,ma_trend,2025-05-15T12:03:35+08:00,2025-04-17T17:45:00+08:00,2025-04-17T17:59:59+08:00,20.00000000,0.02633580,0.02650000,0.02633580,0.02631358,0.02632346,0.02627037,81.00000000,"alpha的MA81趋势向上; 连续20根K线在MA线上方"
ape,ma_trend,2025-05-15T12:03:35+08:00,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,20.00000000,0.46980864,0.48100000,0.46980864,0.46885926,0.46930247,0.46701481,81.00000000,"ape的MA81趋势向上; 连续20根K线在MA线上方"
