时间戳,币种,任务类型,条件,K线开始时间,K线结束时间,最后价格,波动率,振幅,MA周期,当前MA,连续K线数
2025-05-15 13:44:23,1000sats,volatility,"1000sats在1d窗口内波动率为26.11%",2025-05-15 13:15:00,2025-05-15 13:29:59,0.00006590,26.11,0.00,0,0.00000000,0
2025-05-15 13:44:23,1000sats,volatility,"1000sats在1d窗口内波动率为26.11%",2025-05-15 13:15:00,2025-05-15 13:29:59,0.00006590,26.11,0.00,0,0.00000000,0
2025-05-15 13:44:23,1000cat,volatility,"1000cat在1d窗口内波动率为16.39%",2025-05-15 13:15:00,2025-05-15 13:29:59,0.01076000,16.39,0.00,0,0.00000000,0
2025-05-15 13:44:23,1inch,volatility,"1inch在1d窗口内波动率为4.00%",2025-04-20 21:30:00,2025-04-20 21:44:59,0.17240000,4.00,0.00,0,0.00000000,0
2025-05-15 13:44:23,1mbabydoge,volatility,"1mbabydoge在1d窗口内波动率为12.08%",2025-05-15 13:15:00,2025-05-15 13:29:59,0.00182670,12.08,0.00,0,0.00000000,0
2025-05-15 13:44:23,1inch,volatility,"1inch在1d窗口内波动率为4.00%",2025-04-20 21:30:00,2025-04-20 21:44:59,0.17240000,4.00,0.00,0,0.00000000,0
2025-05-15 13:44:23,1mbabydoge,volatility,"1mbabydoge在1d窗口内波动率为12.08%",2025-05-15 13:15:00,2025-05-15 13:29:59,0.00182670,12.08,0.00,0,0.00000000,0
2025-05-15 13:44:23,aave,volatility,"aave在1d窗口内波动率为4.02%",2025-04-20 21:30:00,2025-04-20 21:44:59,138.21000000,4.02,0.00,0,0.00000000,0
2025-05-15 13:44:23,1000cat,volatility,"1000cat在1d窗口内波动率为16.39%",2025-05-15 13:15:00,2025-05-15 13:29:59,0.01076000,16.39,0.00,0,0.00000000,0
2025-05-15 13:44:23,aave,volatility,"aave在1d窗口内波动率为4.02%",2025-04-20 21:30:00,2025-04-20 21:44:59,138.21000000,4.02,0.00,0,0.00000000,0
2025-05-15 13:44:23,ach,volatility,"ach在1d窗口内波动率为7.63%",2025-05-15 13:15:00,2025-05-15 13:29:59,0.02693000,7.63,0.00,0,0.00000000,0
2025-05-15 13:44:23,ach,volatility,"ach在1d窗口内波动率为7.63%",2025-05-15 13:15:00,2025-05-15 13:29:59,0.02693000,7.63,0.00,0,0.00000000,0
2025-05-15 13:44:23,aca,volatility,"aca在1d窗口内波动率为8.01%",2025-04-21 15:15:00,2025-04-21 15:29:59,0.03160000,8.01,0.00,0,0.00000000,0
2025-05-15 13:44:23,ace,volatility,"ace在1d窗口内波动率为12.83%",2025-04-21 15:15:00,2025-04-21 15:29:59,0.57500000,12.83,0.00,0,0.00000000,0
2025-05-15 13:44:23,ace,volatility,"ace在1d窗口内波动率为12.83%",2025-04-21 15:15:00,2025-04-21 15:29:59,0.57500000,12.83,0.00,0,0.00000000,0
2025-05-15 13:44:23,aca,ma_trend,"aca的MA81趋势向上",2025-04-21 15:15:00,2025-04-21 15:29:59,0.00000000,0.00,0.00,81,0.03075432,20
2025-05-15 13:44:23,aca,volatility,"aca在1d窗口内波动率为8.01%",2025-04-21 15:15:00,2025-04-21 15:29:59,0.03160000,8.01,0.00,0,0.00000000,0
2025-05-15 13:44:23,aca,ma_trend,"aca的MA81趋势向上",2025-04-21 15:15:00,2025-04-21 15:29:59,0.00000000,0.00,0.00,81,0.03075432,20
2025-05-15 13:44:23,act,volatility,"act在1d窗口内波动率为8.79%",2025-04-21 15:15:00,2025-04-21 15:29:59,0.06170000,8.79,0.00,0,0.00000000,0
2025-05-15 13:44:23,act,volatility,"act在1d窗口内波动率为8.79%",2025-04-21 15:15:00,2025-04-21 15:29:59,0.06170000,8.79,0.00,0,0.00000000,0
2025-05-15 13:44:23,acm,volatility,"acm在1d窗口内波动率为6.92%",2025-05-15 13:15:00,2025-05-15 13:29:59,0.95300000,6.92,0.00,0,0.00000000,0
2025-05-15 13:44:23,acm,volatility,"acm在1d窗口内波动率为6.92%",2025-05-15 13:15:00,2025-05-15 13:29:59,0.95300000,6.92,0.00,0,0.00000000,0
2025-05-15 13:44:23,acx,ma_trend,"acx的MA81趋势向上",2025-04-21 15:15:00,2025-04-21 15:29:59,0.00000000,0.00,0.00,81,0.20046420,20
2025-05-15 13:44:23,acx,volatility,"acx在1d窗口内波动率为5.18%",2025-04-21 15:15:00,2025-04-21 15:29:59,0.20540000,5.18,0.00,0,0.00000000,0
2025-05-15 13:44:23,acx,ma_trend,"acx的MA81趋势向上",2025-04-21 15:15:00,2025-04-21 15:29:59,0.00000000,0.00,0.00,81,0.20046420,20
2025-05-15 13:44:23,acx,volatility,"acx在1d窗口内波动率为5.18%",2025-04-21 15:15:00,2025-04-21 15:29:59,0.20540000,5.18,0.00,0,0.00000000,0
2025-05-15 13:44:23,ada,volatility,"ada在1d窗口内波动率为8.84%",2025-04-25 14:30:00,2025-04-25 14:44:59,0.71820000,8.84,0.00,0,0.00000000,0
2025-05-15 13:44:23,adx,volatility,"adx在1d窗口内波动率为5.75%",2025-05-15 13:15:00,2025-05-15 13:29:59,0.11550000,5.75,0.00,0,0.00000000,0
2025-05-15 13:44:23,adx,volatility,"adx在1d窗口内波动率为5.75%",2025-05-15 13:15:00,2025-05-15 13:29:59,0.11550000,5.75,0.00,0,0.00000000,0
2025-05-15 13:44:23,ada,volatility,"ada在1d窗口内波动率为8.84%",2025-04-25 14:30:00,2025-04-25 14:44:59,0.71820000,8.84,0.00,0,0.00000000,0
2025-05-15 13:44:23,ai,volatility,"ai在1d窗口内波动率为12.68%",2025-05-15 13:15:00,2025-05-15 13:29:59,0.19510000,12.68,0.00,0,0.00000000,0
2025-05-15 13:44:23,ai,volatility,"ai在1d窗口内波动率为12.68%",2025-05-15 13:15:00,2025-05-15 13:29:59,0.19510000,12.68,0.00,0,0.00000000,0
2025-05-15 13:44:23,agld,volatility,"agld在1d窗口内波动率为13.18%",2025-05-15 13:15:00,2025-05-15 13:29:59,1.04000000,13.18,0.00,0,0.00000000,0
2025-05-15 13:44:23,agld,volatility,"agld在1d窗口内波动率为13.18%",2025-05-15 13:15:00,2025-05-15 13:29:59,1.04000000,13.18,0.00,0,0.00000000,0
2025-05-15 13:44:23,alcx,volatility,"alcx在1d窗口内波动率为7.01%",2025-05-15 13:15:00,2025-05-15 13:29:59,10.55000000,7.01,0.00,0,0.00000000,0
2025-05-15 13:44:23,alcx,volatility,"alcx在1d窗口内波动率为7.01%",2025-05-15 13:15:00,2025-05-15 13:29:59,10.55000000,7.01,0.00,0,0.00000000,0
2025-05-15 13:44:23,alpaca,amplitude,"alpaca在1h内振幅达到58.27%",2025-05-02 10:45:00,2025-05-02 10:59:59,0.22440000,0.00,58.27,0,0.00000000,0
2025-05-15 13:44:23,alpaca,volatility,"alpaca在1d窗口内波动率为102.06%",2025-05-02 10:45:00,2025-05-02 10:59:59,0.22440000,102.06,0.00,0,0.00000000,0
2025-05-15 13:44:23,alpaca,amplitude,"alpaca在1h内振幅达到58.27%",2025-05-02 10:45:00,2025-05-02 10:59:59,0.22440000,0.00,58.27,0,0.00000000,0
2025-05-15 13:44:23,alpaca,volatility,"alpaca在1d窗口内波动率为102.06%",2025-05-02 10:45:00,2025-05-02 10:59:59,0.22440000,102.06,0.00,0,0.00000000,0
2025-05-15 13:44:24,aixbt,volatility,"aixbt在1d窗口内波动率为14.24%",2025-04-25 14:30:00,2025-04-25 14:44:59,0.11770000,14.24,0.00,0,0.00000000,0
2025-05-15 13:44:24,aixbt,volatility,"aixbt在1d窗口内波动率为14.24%",2025-04-25 14:30:00,2025-04-25 14:44:59,0.11770000,14.24,0.00,0,0.00000000,0
2025-05-15 13:44:24,alpha,volatility,"alpha在1d窗口内波动率为10.38%",2025-04-17 17:45:00,2025-04-17 17:59:59,0.02650000,10.38,0.00,0,0.00000000,0
2025-05-15 13:44:24,alpha,volatility,"alpha在1d窗口内波动率为10.38%",2025-04-17 17:45:00,2025-04-17 17:59:59,0.02650000,10.38,0.00,0,0.00000000,0
2025-05-15 13:44:24,algo,volatility,"algo在1d窗口内波动率为8.23%",2025-05-15 13:15:00,2025-05-15 13:29:59,0.23120000,8.23,0.00,0,0.00000000,0
2025-05-15 13:44:24,algo,volatility,"algo在1d窗口内波动率为8.23%",2025-05-15 13:15:00,2025-05-15 13:29:59,0.23120000,8.23,0.00,0,0.00000000,0
2025-05-15 13:44:24,anime,volatility,"anime在1d窗口内波动率为10.18%",2025-05-15 13:15:00,2025-05-15 13:29:59,0.02110000,10.18,0.00,0,0.00000000,0
2025-05-15 13:44:24,anime,volatility,"anime在1d窗口内波动率为10.18%",2025-05-15 13:15:00,2025-05-15 13:29:59,0.02110000,10.18,0.00,0,0.00000000,0
2025-05-15 13:44:24,alpine,ma_trend,"alpine的MA81趋势向上",2025-04-21 15:15:00,2025-04-21 15:29:59,0.00000000,0.00,0.00,81,0.74127160,20
