Symbol,TaskName,FoundTime,KLineTime,KLineEndTime,volatility,stdDev,returnCount,lastPrice,Description
1mbabydoge,volatility,2025-05-15T12:08:30+08:00,2025-05-15T10:30:00+08:00,2025-05-15T10:44:59+08:00,0.00182400,96.00000000,0.00749628,11.89997448,"1mbabydoge在1d窗口内波动率为11.90%; 基于96个K线计算，标准差为0.007496"
aca,volatility,2025-05-15T12:08:30+08:00,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,0.03160000,96.00000000,0.00504799,8.01342950,"aca在1d窗口内波动率为8.01%; 基于96个K线计算，标准差为0.005048"
aave,volatility,2025-05-15T12:08:30+08:00,2025-04-20T21:30:00+08:00,2025-04-20T21:44:59+08:00,138.21000000,96.00000000,0.00252985,4.01601811,"aave在1d窗口内波动率为4.02%; 基于96个K线计算，标准差为0.002530"
1inch,volatility,2025-05-15T12:08:30+08:00,2025-04-20T21:30:00+08:00,2025-04-20T21:44:59+08:00,0.17240000,96.00000000,0.00252223,4.00391747,"1inch在1d窗口内波动率为4.00%; 基于96个K线计算，标准差为0.002522"
ace,volatility,2025-05-15T12:08:30+08:00,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,0.57500000,96.00000000,0.00808474,12.83413465,"ace在1d窗口内波动率为12.83%; 基于96个K线计算，标准差为0.008085"
1000sats,volatility,2025-05-15T12:08:30+08:00,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,0.00004800,96.00000000,0.00708500,11.24709291,"1000sats在1d窗口内波动率为11.25%; 基于96个K线计算，标准差为0.007085"
act,volatility,2025-05-15T12:08:30+08:00,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,0.06170000,96.00000000,0.00553626,8.78853716,"act在1d窗口内波动率为8.79%; 基于96个K线计算，标准差为0.005536"
acx,volatility,2025-05-15T12:08:30+08:00,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,0.20540000,96.00000000,0.00326185,5.17803019,"acx在1d窗口内波动率为5.18%; 基于96个K线计算，标准差为0.003262"
acm,volatility,2025-05-15T12:08:30+08:00,2025-05-15T10:30:00+08:00,2025-05-15T10:44:59+08:00,0.95500000,96.00000000,0.00417128,6.62170096,"acm在1d窗口内波动率为6.62%; 基于96个K线计算，标准差为0.004171"
ada,volatility,2025-05-15T12:08:30+08:00,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,0.71820000,96.00000000,0.00557146,8.84442246,"ada在1d窗口内波动率为8.84%; 基于96个K线计算，标准差为0.005571"
adx,volatility,2025-05-15T12:08:30+08:00,2025-05-15T10:30:00+08:00,2025-05-15T10:44:59+08:00,0.11710000,96.00000000,0.00360088,5.71621442,"adx在1d窗口内波动率为5.72%; 基于96个K线计算，标准差为0.003601"
agld,volatility,2025-05-15T12:08:30+08:00,2025-05-15T10:30:00+08:00,2025-05-15T10:44:59+08:00,1.03900000,96.00000000,0.00832702,13.21873595,"agld在1d窗口内波动率为13.22%; 基于96个K线计算，标准差为0.008327"
aixbt,volatility,2025-05-15T12:08:30+08:00,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,0.11770000,96.00000000,0.00897065,14.24045987,"aixbt在1d窗口内波动率为14.24%; 基于96个K线计算，标准差为0.008971"
alcx,volatility,2025-05-15T12:08:30+08:00,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,8.81000000,96.00000000,0.00611589,9.70866870,"alcx在1d窗口内波动率为9.71%; 基于96个K线计算，标准差为0.006116"
ai,volatility,2025-05-15T12:08:30+08:00,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,0.14160000,96.00000000,0.00537798,8.53727112,"ai在1d窗口内波动率为8.54%; 基于96个K线计算，标准差为0.005378"
algo,volatility,2025-05-15T12:08:30+08:00,2025-05-15T10:30:00+08:00,2025-05-15T10:44:59+08:00,0.23340000,96.00000000,0.00513722,8.15507821,"algo在1d窗口内波动率为8.16%; 基于96个K线计算，标准差为0.005137"
alpaca,volatility,2025-05-15T12:08:30+08:00,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,0.09530000,96.00000000,0.07996239,126.93635352,"alpaca在1d窗口内波动率为126.94%; 基于96个K线计算，标准差为0.079962"
alpha,volatility,2025-05-15T12:08:30+08:00,2025-04-17T17:45:00+08:00,2025-04-17T17:59:59+08:00,0.02650000,96.00000000,0.00653748,10.37792781,"alpha在1d窗口内波动率为10.38%; 基于96个K线计算，标准差为0.006537"
alpine,volatility,2025-05-15T12:08:30+08:00,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,0.75300000,96.00000000,0.00385147,6.11402560,"alpine在1d窗口内波动率为6.11%; 基于96个K线计算，标准差为0.003851"
ape,volatility,2025-05-15T12:08:30+08:00,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,0.48100000,96.00000000,0.00505910,8.03107320,"ape在1d窗口内波动率为8.03%; 基于96个K线计算，标准差为0.005059"
anime,volatility,2025-05-15T12:08:30+08:00,2025-04-17T17:45:00+08:00,2025-04-17T17:59:59+08:00,0.01690000,96.00000000,0.00902302,14.32359730,"anime在1d窗口内波动率为14.32%; 基于96个K线计算，标准差为0.009023"
ankr,volatility,2025-05-15T12:08:30+08:00,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,0.02020000,96.00000000,0.00423171,6.71763705,"ankr在1d窗口内波动率为6.72%; 基于96个K线计算，标准差为0.004232"
api3,volatility,2025-05-15T12:08:30+08:00,2025-04-17T17:45:00+08:00,2025-04-17T17:59:59+08:00,0.71700000,96.00000000,0.00631960,10.03204627,"api3在1d窗口内波动率为10.03%; 基于96个K线计算，标准差为0.006320"
arb,volatility,2025-05-15T12:08:30+08:00,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,0.31170000,96.00000000,0.00279894,4.44317796,"arb在1d窗口内波动率为4.44%; 基于96个K线计算，标准差为0.002799"
ar,volatility,2025-05-15T12:08:30+08:00,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,5.57000000,96.00000000,0.00363998,5.77828780,"ar在1d窗口内波动率为5.78%; 基于96个K线计算，标准差为0.003640"
ardr,volatility,2025-05-15T12:08:30+08:00,2025-05-15T10:30:00+08:00,2025-05-15T10:44:59+08:00,0.10603000,96.00000000,0.00406794,6.45764797,"ardr在1d窗口内波动率为6.46%; 基于96个K线计算，标准差为0.004068"
arpa,volatility,2025-05-15T12:08:30+08:00,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,0.02563000,96.00000000,0.00497742,7.90141257,"arpa在1d窗口内波动率为7.90%; 基于96个K线计算，标准差为0.004977"
ark,volatility,2025-05-15T12:08:30+08:00,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,0.49110000,96.00000000,0.00996534,15.81948115,"ark在1d窗口内波动率为15.82%; 基于96个K线计算，标准差为0.009965"
arkm,volatility,2025-05-15T12:08:30+08:00,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,0.56500000,96.00000000,0.00615348,9.76834550,"arkm在1d窗口内波动率为9.77%; 基于96个K线计算，标准差为0.006153"
asr,volatility,2025-05-15T12:08:30+08:00,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,1.07800000,96.00000000,0.00231768,3.67919957,"asr在1d窗口内波动率为3.68%; 基于96个K线计算，标准差为0.002318"
ata,volatility,2025-05-15T12:08:30+08:00,2025-05-15T10:30:00+08:00,2025-05-15T10:44:59+08:00,0.06750000,96.00000000,0.00627057,9.95422763,"ata在1d窗口内波动率为9.95%; 基于96个K线计算，标准差为0.006271"
atom,volatility,2025-05-15T12:08:30+08:00,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,4.54600000,96.00000000,0.00422427,6.70582404,"atom在1d窗口内波动率为6.71%; 基于96个K线计算，标准差为0.004224"
atm,volatility,2025-05-15T12:08:30+08:00,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,1.08100000,96.00000000,0.00268595,4.26380662,"atm在1d窗口内波动率为4.26%; 基于96个K线计算，标准差为0.002686"
auction,volatility,2025-05-15T12:08:30+08:00,2025-04-17T17:45:00+08:00,2025-04-17T17:59:59+08:00,11.04000000,96.00000000,0.00666812,10.58531631,"auction在1d窗口内波动率为10.59%; 基于96个K线计算，标准差为0.006668"
ava,volatility,2025-05-15T12:08:30+08:00,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,0.61920000,96.00000000,0.00535354,8.49848251,"ava在1d窗口内波动率为8.50%; 基于96个K线计算，标准差为0.005354"
audio,volatility,2025-05-15T12:08:30+08:00,2025-04-17T17:45:00+08:00,2025-04-17T17:59:59+08:00,0.06160000,96.00000000,0.00444622,7.05815039,"audio在1d窗口内波动率为7.06%; 基于96个K线计算，标准差为0.004446"
axs,volatility,2025-05-15T12:08:30+08:00,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,2.59200000,96.00000000,0.00459384,7.29249034,"axs在1d窗口内波动率为7.29%; 基于96个K线计算，标准差为0.004594"
axl,volatility,2025-05-15T12:08:30+08:00,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,0.36080000,96.00000000,0.00682713,10.83773632,"axl在1d窗口内波动率为10.84%; 基于96个K线计算，标准差为0.006827"
badger,volatility,2025-05-15T12:08:30+08:00,2025-04-16T10:45:00+08:00,2025-04-16T10:59:59+08:00,0.76200000,96.00000000,0.00770238,12.22714992,"badger在1d窗口内波动率为12.23%; 基于96个K线计算，标准差为0.007702"
bake,volatility,2025-05-15T12:08:30+08:00,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,0.13990000,96.00000000,0.00455905,7.23727084,"bake在1d窗口内波动率为7.24%; 基于96个K线计算，标准差为0.004559"
bananas31,volatility,2025-05-15T12:08:30+08:00,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,0.00533800,96.00000000,0.00376777,5.98115250,"bananas31在1d窗口内波动率为5.98%; 基于96个K线计算，标准差为0.003768"
